# Iteration 0
Image 0:
-0.071480 -0.032283 -0.118044
1.135724 0.047144 0.095514
-0.359545 -1.906248 -1.419109
-0.400536 0.136312 0.175398
-0.138548 -0.322255 0.061630
0.091566 -0.304971 0.061015
0.260407 -0.055981 -0.059951
0.225091 0.171484 -0.082542
0.105374 0.381892 -0.170283
-0.179855 0.129189 -0.029399
-0.058218 -0.152141 -0.092225
0.088397 0.073215 -0.117268
0.075364 -0.055653 0.174287
-0.156360 0.073256 0.022784
-0.064747 -0.166284 0.003510
0.088415 0.058895 -0.017236
-0.045028 -0.106347 0.100254
0.348041 2.106230 1.351948
-0.088809 -0.114492 0.040150
0.028780 -0.180572 0.038710
0.158161 -0.059401 -0.034693
0.093706 0.136782 -0.054307
-0.021188 0.145458 -0.048439
-0.037596 -0.158354 -0.088351
-0.293897 0.170318 0.281209
0.062317 0.000915 -0.034149
0.118759 0.244284 -0.126299
-0.126099 -0.064065 -0.073355
0.175730 0.045373 0.098356
-0.011585 -0.170329 -0.004703
-0.083475 0.091763 0.111095
-0.061748 -0.004206 -0.090965
-0.015704 -0.091100 0.019076
-0.032276 0.109955 0.012029
0.018888 -0.009477 0.104710
0.016456 0.065065 0.063827
0.117660 -0.044678 -0.061617
-0.029348 -0.051523 -0.081301
-0.124628 0.053769 0.018879
0.080249 0.128318 -0.091945
-0.000351 0.085812 0.061695
0.108498 -0.014992 -0.084542
-0.003505 -0.068220 -0.013370
-0.105294 -0.021339 0.122757
0.140019 0.040058 0.095689

Image 5:
0.027272 -0.003752 0.018552
-1.192933 -0.363496 -0.152674
-0.059851 -0.039488 -0.113148
1.276130 0.029737 0.104630
-0.400000 -1.945341 -1.513057
-0.415315 0.166214 0.161529
-0.122155 -0.321305 0.061044
0.061628 -0.255041 0.062788
0.296728 -0.082184 -0.061775
0.188763 0.186894 -0.079017
0.106891 0.319478 -0.170296
-0.173942 0.123894 -0.024324
-0.058704 -0.152247 -0.086632
0.087067 0.072913 -0.109183
0.065932 -0.054740 0.149001
-0.148035 0.069158 0.022220
-0.072638 -0.166097 0.009190
0.095361 0.066558 -0.011434
-0.046400 -0.122543 0.093320
0.415628 2.102685 1.398149
-0.095966 -0.102540 0.043174
0.040608 -0.173392 0.040076
0.157630 -0.051176 -0.035634
0.103096 0.123564 -0.057853
-0.032449 0.130815 -0.047297
-0.038862 -0.151118 -0.096709
-0.260690 0.197149 0.284584
0.056674 0.070290 0.001234
0.126955 0.245990 -0.092255
-0.122821 -0.076065 -0.068215
0.123056 0.064250 0.093008
-0.008228 -0.176417 -0.009855
-0.077681 0.096496 0.112500
-0.057761 -0.003821 -0.089204
-0.012789 -0.093517 0.019147
-0.038816 0.097493 0.021826
0.010248 -0.006032 0.098305
0.012408 0.056736 0.054986
0.103035 -0.046061 -0.060385
-0.026998 -0.040700 -0.080037
-0.120312 0.054704 0.021355
0.084632 0.124743 -0.090826
0.007357 0.080429 0.063737
0.110263 -0.019281 -0.087585
-0.006827 -0.062758 -0.011478
-0.102924 -0.015650 0.119294
0.135733 0.044575 0.095224

Image 6:
0.019587 0.004226 0.003110
-1.312634 -0.394680 -0.154710
-0.053384 -0.050470 -0.100411
1.402601 0.015075 0.104913
-0.427000 -1.894328 -1.540183
-0.417660 0.177235 0.142144
-0.111963 -0.312773 0.059141
0.037922 -0.213643 0.062720
0.322836 -0.100374 -0.062045
0.159612 0.195596 -0.076112
0.101955 0.265252 -0.167481
-0.167224 0.118120 -0.018006
-0.058447 -0.152122 -0.080126
0.085776 0.072364 -0.101434
0.054971 -0.051760 0.122823
-0.136789 0.064259 0.020188
-0.078605 -0.163557 0.013358
0.101514 0.074833 -0.005154
-0.047252 -0.138840 0.084097
0.473155 1.986459 1.373346
-0.100446 -0.091198 0.045185
0.050115 -0.162878 0.040780
0.156392 -0.043747 -0.036422
0.110044 0.110793 -0.060023
-0.040534 0.113803 -0.045101
-0.038956 -0.142979 -0.099705
-0.216274 0.225045 0.280889
0.044801 0.158266 0.051077
0.132379 0.240085 -0.052295
-0.116558 -0.082411 -0.062993
0.064563 0.084083 0.082662
-0.003054 -0.178056 -0.012101
-0.075282 0.099411 0.113226
-0.054712 -0.003069 -0.088996
-0.010469 -0.095146 0.019146
-0.047861 0.086090 0.032961
0.000889 -0.002208 0.093521
0.009760 0.054988 0.044677
0.088677 -0.045497 -0.059125
-0.025659 -0.032062 -0.079360
-0.116631 0.054800 0.023185
0.087349 0.121014 -0.090362
0.017957 0.076190 0.068785
0.112949 -0.023262 -0.089838
-0.009937 -0.059527 -0.010279
-0.100304 -0.010611 0.115092
0.131831 0.047212 0.095239

Image 7:
0.009902 0.012276 -0.018741
-1.411884 -0.421830 -0.153558
-0.054398 -0.065527 -0.081449
1.506184 0.002762 0.092524
-0.441896 -1.762315 -1.499540
-0.408845 0.166397 0.119492
-0.108378 -0.298728 0.055998
0.023422 -0.185059 0.062288
0.336206 -0.108847 -0.061062
0.140534 0.197221 -0.074338
0.091405 0.225433 -0.165009
-0.160447 0.112464 -0.010455
-0.057454 -0.151908 -0.072918
0.084743 0.071876 -0.094689
0.044524 -0.047411 0.099076
-0.123508 0.059441 0.016492
-0.082099 -0.158791 0.015724
0.107098 0.083814 0.001302
